id,day_week_spa
862,lunes
8844,viernes
15602,viernes
31357,viernes
11862,viernes
949,viernes
11860,viernes
45325,viernes
9091,viernes
710,jueves
9087,viernes
12110,viernes
21032,viernes
10858,viernes
1408,viernes
524,miércoles
4584,miércoles
5,sábado
9273,viernes
11517,martes
8012,viernes
1710,viernes
9691,viernes
12665,viernes
451,viernes
16420,viernes
9263,viernes
17015,miércoles
902,martes
37557,domingo
9909,viernes
63,viernes
78802,miércoles
9598,martes
47018,miércoles
687,viernes
139405,viernes
33689,viernes
9603,miércoles
34615,viernes
31174,viernes
11443,viernes
35196,viernes
9312,viernes
577,sábado
11861,viernes
807,viernes
10530,miércoles
8391,viernes
629,miércoles
117164,martes
11448,miércoles
49133,sábado
26441,viernes
97406,viernes
124057,martes
9089,jueves
11010,jueves
99040,viernes
11359,viernes
17182,viernes
2054,viernes
10607,viernes
19760,viernes
9536,viernes
11525,viernes
40628,domingo
4482,miércoles
10634,miércoles
755,viernes
11859,viernes
28387,viernes
48750,miércoles
20927,viernes
36929,viernes
9102,viernes
124626,sábado
27526,miércoles
9623,viernes
46785,domingo
400,viernes
880,martes
146599,viernes
188588,miércoles
8447,domingo
10534,viernes
17414,viernes
13997,jueves
2086,miércoles
61548,jueves
9095,viernes
12158,jueves
9283,viernes
9208,viernes
40154,viernes
406,miércoles
45549,martes
63076,miércoles
11062,viernes
13685,miércoles
47475,viernes
2045,viernes
9614,viernes
688,domingo
11907,lunes
10874,viernes
89333,viernes
96357,sábado
197,miércoles
103,sábado
33542,lunes
43566,viernes
71754,miércoles
43612,martes
51352,jueves
16934,viernes
10324,viernes
78406,viernes
55731,viernes
32119,domingo
11066,martes
11104,jueves
37975,jueves
2074,viernes
27793,miércoles
44284,viernes
290157,domingo
110972,viernes
32622,domingo
73067,miércoles
11863,viernes
55475,miércoles
124636,martes
9101,viernes
123360,viernes
5757,viernes
39428,miércoles
124639,martes
9302,viernes
11000,viernes
249882,jueves
16388,miércoles
9737,viernes
30765,viernes
10474,viernes
22279,viernes
30157,viernes
568,viernes
11780,jueves
34996,martes
414,viernes
649,miércoles
1873,miércoles
5894,viernes
1775,jueves
8839,viernes
20649,viernes
10329,viernes
8963,viernes
26564,sábado
8068,viernes
8512,viernes
1572,viernes
13552,viernes
259209,jueves
6520,viernes
9073,miércoles
10428,jueves
17447,viernes
9886,viernes
9482,viernes
19326,miércoles
9344,viernes
9071,viernes
8973,viernes
15730,jueves
47608,viernes
2293,viernes
9070,viernes
68274,viernes
48787,jueves
34574,martes
1642,viernes
11472,miércoles
36196,viernes
11980,viernes
58372,viernes
32646,viernes
10533,viernes
56088,viernes
10802,viernes
10149,viernes
18402,viernes
9348,viernes
139408,viernes
281,viernes
5967,miércoles
79593,viernes
47939,viernes
36834,jueves
9090,jueves
3512,jueves
52856,viernes
77350,viernes
9560,viernes
9804,viernes
31611,viernes
65796,viernes
49805,miércoles
26258,viernes
50797,domingo
19155,jueves
76,viernes
11017,viernes
37141,martes
9382,viernes
6715,viernes
18256,viernes
22625,jueves
2292,martes
1909,sábado
8984,viernes
61813,domingo
4954,jueves
62488,viernes
10531,miércoles
11929,viernes
8467,viernes
10451,miércoles
20156,sábado
18395,viernes
522,martes
397,viernes
10525,viernes
27985,viernes
15789,viernes
27303,viernes
21183,viernes
10954,miércoles
47867,viernes
43475,viernes
72031,viernes
