movie_id,director_id,director_name,title,release_date,budget,revenue,return
524,1032,Martin Scorsese,Casino,1995-11-22,52000000.0,116112375.0,2.2329302884615383
5,138,Quentin Tarantino,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075
11448,1243,Woody Allen,Mighty Aphrodite,1995-09-13,15000000.0,6700000.0,0.4466666666666666
9089,1038,Jodie Foster,Home for the Holidays,1995-11-02,0.0,17519169.0,0.0
13685,5655,Wes Anderson,Bottle Rocket,1996-02-21,7000000.0,560069.0,0.0800098571428571
688,190,Clint Eastwood,The Bridges of Madison County,1995-05-28,24000000.0,182016617.0,7.584025708333333
103,1032,Martin Scorsese,Taxi Driver,1976-02-07,1300000.0,28262574.0,21.74044153846154
680,138,Quentin Tarantino,Pulp Fiction,1994-09-10,8000000.0,213928762.0,26.74109525
11382,1243,Woody Allen,Bullets Over Broadway,1994-10-14,0.0,0.0,0.0
36955,2710,James Cameron,True Lies,1994-07-14,115000000.0,378882411.0,3.2946296608695653
10436,1032,Martin Scorsese,The Age of Innocence,1993-09-17,34000000.0,32255440.0,0.948689411764706
11934,1223,Joel Coen,The Hudsucker Proxy,1994-03-11,30000000.0,0.0,0.0
329,488,Steven Spielberg,Jurassic Park,1993-06-11,63000000.0,920100000.0,14.604761904761904
10440,1243,Woody Allen,Manhattan Murder Mystery,1993-08-18,13500000.0,11285588.0,0.8359694814814815
9559,190,Clint Eastwood,A Perfect World,1993-11-24,30000000.0,135130999.0,4.504366633333333
424,488,Steven Spielberg,Schindler's List,1993-11-29,22000000.0,321365567.0,14.607525772727271
280,2710,James Cameron,Terminator 2: Judgment Day,1991-07-01,100000000.0,520000000.0,5.2
275,1223,Joel Coen,Fargo,1996-04-05,7000000.0,60611975.0,8.65885357142857
935,240,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,1800000.0,9440272.0,5.244595555555556
7095,1776,Francis Ford Coppola,Jack,1996-08-09,45000000.0,58620973.0,1.3026882888888889
238,1776,Francis Ford Coppola,The Godfather,1972-03-14,6000000.0,245066411.0,40.844401833333336
