id,release_month_spa
862,Octubre
8844,Diciembre
15602,Diciembre
31357,Diciembre
11862,Febrero
949,Diciembre
11860,Diciembre
45325,Diciembre
9091,Diciembre
710,Noviembre
9087,Noviembre
12110,Diciembre
21032,Diciembre
10858,Diciembre
1408,Diciembre
524,Noviembre
4584,Diciembre
5,Diciembre
9273,Noviembre
11517,Noviembre
8012,Octubre
1710,Octubre
9691,Octubre
12665,Octubre
451,Octubre
16420,Diciembre
9263,Octubre
17015,Septiembre
902,Mayo
37557,Abril
9909,Agosto
63,Diciembre
78802,Septiembre
9598,Julio
47018,Noviembre
687,Diciembre
139405,Octubre
33689,Noviembre
9603,Julio
34615,Diciembre
31174,Diciembre
11443,Octubre
35196,Diciembre
9312,Agosto
577,Mayo
11861,Octubre
807,Septiembre
10530,Junio
8391,Mayo
629,Julio
117164,Noviembre
11448,Septiembre
49133,Enero
26441,Septiembre
97406,Mayo
124057,Julio
9089,Noviembre
11010,Septiembre
99040,Septiembre
11359,Julio
17182,Enero
2054,Diciembre
10607,Enero
19760,Enero
9536,Enero
11525,Enero
40628,Octubre
4482,Febrero
10634,Abril
755,Enero
11859,Noviembre
28387,Octubre
48750,Marzo
20927,Enero
36929,Enero
9102,Septiembre
124626,Febrero
27526,Noviembre
9623,Febrero
46785,Enero
400,Diciembre
880,Septiembre
146599,Enero
188588,Noviembre
8447,Septiembre
10534,Febrero
17414,Enero
13997,Febrero
2086,Noviembre
61548,Septiembre
9095,Febrero
12158,Octubre
9283,Febrero
9208,Febrero
40154,Diciembre
406,Mayo
45549,Diciembre
63076,Diciembre
11062,Febrero
13685,Febrero
47475,Febrero
2045,Febrero
9614,Febrero
688,Mayo
11907,Noviembre
10874,Febrero
89333,Diciembre
96357,Mayo
197,Mayo
103,Febrero
33542,Enero
43566,Febrero
71754,Septiembre
43612,Enero
51352,Junio
16934,Enero
10324,Marzo
78406,Septiembre
55731,Marzo
32119,Diciembre
11066,Junio
11104,Julio
37975,Septiembre
2074,Marzo
27793,Octubre
44284,Septiembre
290157,Enero
110972,Febrero
32622,Enero
73067,Noviembre
11863,Octubre
55475,Agosto
124636,Agosto
9101,Marzo
123360,Septiembre
5757,Septiembre
39428,Agosto
124639,Agosto
9302,Marzo
11000,Marzo
249882,Octubre
16388,Agosto
9737,Abril
30765,Agosto
10474,Abril
22279,Julio
30157,Agosto
568,Junio
11780,Abril
34996,Enero
414,Junio
649,Mayo
1873,Mayo
5894,Septiembre
1775,Junio
8839,Mayo
20649,Septiembre
10329,Junio
8963,Mayo
26564,Septiembre
8068,Agosto
8512,Septiembre
1572,Mayo
13552,Octubre
259209,Octubre
6520,Julio
9073,Julio
10428,Septiembre
17447,Agosto
9886,Mayo
9482,Junio
19326,Abril
9344,Julio
9071,Enero
8973,Agosto
15730,Mayo
47608,Mayo
2293,Octubre
9070,Junio
68274,Septiembre
48787,Septiembre
34574,Septiembre
1642,Julio
11472,Julio
36196,Junio
11980,Septiembre
58372,Noviembre
32646,Junio
10533,Octubre
56088,Agosto
10802,Septiembre
10149,Junio
18402,Agosto
9348,Julio
139408,Septiembre
281,Octubre
5967,Febrero
79593,Septiembre
47939,Octubre
36834,Noviembre
9090,Septiembre
3512,Julio
52856,Septiembre
77350,Agosto
9560,Agosto
9804,Julio
31611,Diciembre
65796,Diciembre
49805,Octubre
26258,Agosto
50797,Mayo
19155,Junio
76,Enero
11017,Febrero
37141,Octubre
9382,Febrero
6715,Abril
18256,Agosto
22625,Marzo
2292,Septiembre
1909,Octubre
8984,Diciembre
61813,Enero
4954,Diciembre
62488,Abril
10531,Mayo
11929,Marzo
8467,Diciembre
10451,Agosto
20156,Septiembre
18395,Octubre
522,Septiembre
397,Mayo
10525,Mayo
27985,Enero
15789,Abril
27303,Marzo
21183,Junio
10954,Diciembre
47867,Mayo
43475,Diciembre
72031,Septiembre
14275,Septiembre
1024,Septiembre
17207,Enero
13701,Diciembre
14819,Febrero
32631,Febrero
11777,Diciembre
628,Noviembre
87729,Marzo
18713,Febrero
6280,Noviembre
9061,Febrero
37108,Agosto
6071,Abril
11,Mayo
9587,Diciembre
19101,Mayo
49980,Febrero
17961,Febrero
18183,Abril
4476,Diciembre
11008,Marzo
47504,Octubre
32325,Junio
43742,Octubre
28313,Marzo
11318,Diciembre
3036,Noviembre
40490,Marzo
24070,Diciembre
8986,Agosto
10510,Noviembre
17402,Enero
38722,Mayo
8438,Enero
11593,Diciembre
1945,Diciembre
39310,Abril
109560,Agosto
56428,Abril
63105,Septiembre
131957,Marzo
241,Agosto
9058,Septiembre
527,Septiembre
18220,Enero
6950,Marzo
101,Septiembre
63020,Mayo
2307,Abril
680,Septiembre
41478,Noviembre
25296,Febrero
40156,Enero
11450,Septiembre
30304,Mayo
10452,Mayo
12106,Febrero
161495,Marzo
3586,Diciembre
110,Mayo
108,Enero
109,Enero
159185,Octubre
36357,Enero
92769,Octubre
28033,Abril
22586,Noviembre
14334,Enero
2636,Octubre
2164,Octubre
11395,Noviembre
278,Septiembre
9905,Diciembre
87078,Septiembre
12527,Enero
20306,Septiembre
36614,Julio
27993,Septiembre
31439,Junio
9067,Marzo
9059,Enero
193,Noviembre
25066,Mayo
46797,Abril
12122,Abril
11381,Marzo
32636,Septiembre
36141,Abril
95963,Febrero
1587,Diciembre
9271,Agosto
2064,Abril
19855,Noviembre
60855,Septiembre
236,Septiembre
48287,Agosto
3049,Febrero
2759,Mayo
12635,Abril
10497,Septiembre
11382,Octubre
9331,Agosto
10731,Julio
10464,Agosto
34152,Mayo
9495,Mayo
29973,Diciembre
888,Mayo
13,Julio
712,Marzo
16295,Enero
48992,Octubre
10879,Junio
10660,Julio
10714,Diciembre
41647,Septiembre
8587,Junio
1689,Diciembre
11596,Octubre
854,Julio
