id,title,release_year,vote_average,vote_count
862,Toy Story,1995,7.7,5415.0
8844,Jumanji,1995,6.9,2413.0
15602,Grumpier Old Men,1995,6.5,92.0
31357,Waiting to Exhale,1995,6.1,34.0
11862,Father of the Bride Part II,1995,5.7,173.0
949,Heat,1995,7.7,1886.0
11860,Sabrina,1995,6.2,141.0
45325,Tom and Huck,1995,5.4,45.0
9091,Sudden Death,1995,5.5,174.0
710,GoldenEye,1995,6.6,1194.0
9087,The American President,1995,6.5,199.0
12110,Dracula: Dead and Loving It,1995,5.7,210.0
21032,Balto,1995,7.1,423.0
10858,Nixon,1995,7.1,72.0
1408,Cutthroat Island,1995,5.7,137.0
524,Casino,1995,7.8,1343.0
4584,Sense and Sensibility,1995,7.2,364.0
5,Four Rooms,1995,6.5,539.0
9273,Ace Ventura: When Nature Calls,1995,6.1,1128.0
11517,Money Train,1995,5.4,224.0
8012,Get Shorty,1995,6.4,305.0
1710,Copycat,1995,6.5,199.0
9691,Assassins,1995,6.0,394.0
12665,Powder,1995,6.3,143.0
451,Leaving Las Vegas,1995,7.1,365.0
16420,Othello,1995,7.0,33.0
9263,Now and Then,1995,6.6,91.0
17015,Persuasion,1995,7.4,36.0
902,The City of Lost Children,1995,7.6,308.0
37557,Shanghai Triad,1995,6.5,17.0
9909,Dangerous Minds,1995,6.4,249.0
63,Twelve Monkeys,1995,7.4,2470.0
78802,Wings of Courage,1996,6.8,4.0
9598,Babe,1995,6.0,756.0
47018,Carrington,1995,6.4,16.0
687,Dead Man Walking,1995,7.3,350.0
139405,Across the Sea of Time,1995,3.5,2.0
33689,It Takes Two,1995,6.1,149.0
9603,Clueless,1995,6.9,828.0
34615,"Cry, the Beloved Country",1995,6.7,13.0
31174,Richard III,1995,6.9,50.0
11443,Dead Presidents,1995,6.6,80.0
35196,Restoration,1995,6.3,30.0
9312,Mortal Kombat,1995,5.4,452.0
577,To Die For,1995,6.7,177.0
11861,How To Make An American Quilt,1995,6.5,38.0
807,Se7en,1995,8.1,5915.0
10530,Pocahontas,1995,6.7,1509.0
8391,When Night Is Falling,1995,5.9,10.0
629,The Usual Suspects,1995,8.1,3334.0
117164,Guardian Angel,1994,6.3,3.0
11448,Mighty Aphrodite,1995,6.7,145.0
49133,Lamerica,1994,7.7,11.0
26441,The Big Green,1995,5.2,41.0
97406,Georgia,1995,6.1,15.0
124057,Kids of the Round Table,1997,3.0,1.0
9089,Home for the Holidays,1995,6.3,39.0
